Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
Zergsting, TR,34,73.5%,3.9,1.1,2.9,10.3,1.5,252,65.4%,8.0,168,2.86,1.61,0.42,0.52,-50,-2,103,32.4%,2.9%,0,2,2021 Summer
Zerito, AR,21,57.1%,3.2,2.7,2.7,5.9,6.8,360,63.3%,24.2,450,0.97,0.47,0.11,0.18,-152,-5,185,19%,23.8%,0,8,2021 Summer
Zeussak, SK,31,58.1%,3.3,0.9,3.2,9.6,1.0,237,66.9%,7.9,166,2.18,1.19,0.24,0.35,-43,-1,-19,16.1%,12.9%,0,1,2021 Summer
Zeypher, CO,8,50%,2.6,0.5,4.3,10.8,1.1,231,72.3%,7.9,160,2.52,1.56,0.37,0.59,-264,-2,42,12.5%,12.5%,0,1,2021 Summer
Zhergoth, NL,30,63.3%,3.3,3.5,3.1,6.4,8.3,419,55.7%,27.6,591,0.95,0.41,0.15,0.17,578,19,582,26.7%,3.3%,0,26,2021 Summer
Zhii, NL,30,63.3%,4.6,4.0,2.2,6.0,8.0,391,57.2%,21.4,452,1.05,0.42,0.17,0.16,-37,1,-40,16.7%,16.7%,0,11,2021 Summer
Zhuo, CN,33,60.6%,5.1,0.7,2.1,10.2,1.5,248,66%,6.3,137,-,1.73,0.43,0.5,0,0,0,-,-,0,-,2021 Summer
Zicssi, FR,18,55.6%,2.8,2.9,3.8,7.7,4.9,324,66.8%,16.2,350,1.41,0.25,0.36,0.23,-408,-10,-327,38.9%,27.8%,0,2,2021 Summer
Zingy,,3,0%,1.7,1.0,3.0,4.0,0.9,202,66.5%,9.3,132,2.24,1.37,0.26,0.56,-579,5,-282,0%,0%,0,-,2021 Summer
Zoelys, FR,18,55.6%,3.1,1.2,3.6,9.9,1.1,239,69.9%,9.6,205,2.47,1.46,0.36,0.43,78,-0,67,33.3%,0%,0,1,2021 Summer
Zombie, SE,16,18.8%,1.5,2.3,3.6,2.9,7.4,354,48.4%,21.1,342,0.84,0.4,0.13,0.18,66,3,51,6.3%,6.3%,0,6,2021 Summer
Zoom, CN,37,45.9%,2.5,2.3,3.2,5.5,8.3,388,57.8%,21.9,443,-,0.41,0.2,0.16,-,-,-,-,-,0,-,2021 Summer
Zothve, CL,7,0%,1.5,2.4,4.3,4.0,7.5,356,60.5%,23.5,426,0.65,0.28,0.11,0.12,-286,-2,146,28.6%,28.6%,0,5,2021 Summer
